epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4906,1.21731,2.09869,1.30048,0.65158,0.40541,0.44954,0.25037,1.54588,2.34112,1.70242,0.000661064,0.000661064,0.000661064
2,86.1872,1.41672,1.82172,1.42515,0.38895,0.3154,0.28801,0.14919,1.91053,3.22361,2.08303,0.00126201,0.00126201,0.00126201
3,123.58,1.48311,1.66896,1.4594,0.58838,0.45946,0.47796,0.26618,1.59833,1.90277,1.70395,0.00179695,0.00179695,0.00179695
4,162.173,1.4867,1.6067,1.47809,0.52844,0.42342,0.45069,0.26109,1.67436,2.31311,1.70578,0.001703,0.001703,0.001703
5,200.143,1.43702,1.50615,1.43217,0.67226,0.55856,0.62368,0.36968,1.51687,1.61063,1.5565,0.001604,0.001604,0.001604
6,236.992,1.3408,1.39324,1.37725,0.63958,0.42793,0.46571,0.27232,1.67238,2.23121,1.69185,0.001505,0.001505,0.001505
7,274.263,1.31338,1.32534,1.37915,0.75694,0.56757,0.64916,0.39382,1.472,1.5043,1.55433,0.001406,0.001406,0.001406
8,311.658,1.26963,1.23914,1.34743,0.73615,0.64095,0.70612,0.43277,1.36588,1.42988,1.47312,0.001307,0.001307,0.001307
9,351.236,1.21385,1.15986,1.31102,0.73381,0.64414,0.69682,0.45555,1.33235,1.31353,1.45136,0.001208,0.001208,0.001208
10,391.345,1.15328,1.08611,1.27506,0.8185,0.66216,0.77438,0.51987,1.23155,1.07735,1.40974,0.001109,0.001109,0.001109
11,429.312,0.9983,0.92789,1.21581,0.82786,0.63063,0.7323,0.47799,1.2889,1.18194,1.43497,0.00101,0.00101,0.00101
12,465.433,0.96375,0.88638,1.18387,0.81184,0.62194,0.71692,0.46836,1.29745,1.1766,1.4786,0.000911,0.000911,0.000911
13,501.397,0.93657,0.80451,1.15847,0.85616,0.72523,0.78223,0.52523,1.20808,1.04253,1.38017,0.000812,0.000812,0.000812
14,537.223,0.88442,0.7647,1.12913,0.81764,0.74324,0.79546,0.54831,1.12761,0.95556,1.36643,0.000713,0.000713,0.000713
15,573.341,0.83735,0.6941,1.10256,0.81436,0.72072,0.79356,0.57155,1.0945,0.98134,1.32121,0.000614,0.000614,0.000614
16,609.05,0.79494,0.67605,1.08003,0.88734,0.70957,0.80505,0.58056,1.08972,0.95441,1.32544,0.000515,0.000515,0.000515
17,644.97,0.74829,0.61023,1.04533,0.82145,0.69369,0.7957,0.57857,1.06785,0.93128,1.30605,0.000416,0.000416,0.000416
18,681.226,0.72571,0.58677,1.03032,0.85854,0.7108,0.80573,0.58112,1.04672,0.90994,1.27202,0.000317,0.000317,0.000317
19,717.686,0.68997,0.53658,1.01128,0.92283,0.67117,0.80996,0.58695,1.0334,0.93153,1.26602,0.000218,0.000218,0.000218
20,756.321,0.65314,0.52471,1.00236,0.87674,0.73874,0.82153,0.60407,1.02513,0.89375,1.26752,0.000119,0.000119,0.000119
